,Company Name,Date of Tweet,Text of Tweet,Tweet ID
12,3M Company,04-May-20,"@raddude543 Hi - The demand for N95 respirators is much higher than the industry’s ability to deliver, which requires us to prioritize distribution to healthcare workers &amp; first responders working to save lives. We don't have the timeline yet. Thank you for your patience and understanding.",1257332846441779202
13,3M Company,04-May-20,"@WTHailey Hi Hailey - Thank you for taking the time to reach out to us with your valuable feedback. We'll make sure to share this with the appropriate team, so they're aware. Thank you!",1257325333939752960
14,3M Company,04-May-20,@NguyenSyCuong4 Hi there - Thank you for reaching out to us. You may connect with our team in Vietnam through  https://t.co/smucDmEMDS. Thank you.,1257322706409668610
15,3M Company,04-May-20,"@Dr_Lara Also, here is a tech bulletin explaining how reusable respirators can be evaluated as alternatives to N95 filtering facepiece respirators for certain hazards:  https://t.co/pb6D6AAfib.  Lastly, here's a brochure showing our full reusable respirator line: https://t.co/rWajbjcH60",1257313487555985409
16,3M Company,04-May-20,"@Dr_Lara One such particulate filter option is 6092X-series cartridges &amp; 7000-series particulate filters, which feature hard cases that can be wiped down as part of your facilities’ infection prevention/disinfection protocols. Here's our product matrix: https://t.co/LBMds52zYz Thank you.",1257312633683767297
17,3M Company,04-May-20,"@Dr_Lara Hi Lara - Thank you for reaching out to us. When properly selected and worn with an appropriate particulate filter, any of our reusable respirators will help reduce exposure to airborne droplets or aerosols, including those that may contain virus or bacteria.",1257311615126351874
18,AbbVie Inc.,18-Jul-19,"@K__Dubs Hi @K__Dubs, we’ve shared your tweet with our team to see if we can help. In the meantime, please contact 1-800-448-6472 for immediate assistance.",1151980696510091264
19,AbbVie Inc.,18-Jul-19,@AbbVie_AU ❤️ this!,1151907378113257473
20,AbbVie Inc.,18-Jul-19,Come work with the brightest minds in #oncology. https://t.co/bwYoajbPZb https://t.co/xuNx7yS475,1151899515911376896
21,AbbVie Inc.,18-Jul-19,#NelsonMandela would have been 101 years old today – and his wisdom continues to inspire us. RT if you agree. #MandelaDay https://t.co/X9zYcfAoh1,1151846604032417792
22,AbbVie Inc.,17-Jul-19,We’re excited to be a part of this collab w/ @broadinstitute to find new solutions for the patients that need them most. https://t.co/J7WxxHaYv1,1151598121824243712
23,AbbVie Inc.,17-Jul-19,"In the early 2000s, the advent of biologics changed how #rheumatology was practiced. This shift left the medical community thinking: What could be next? Learn more: https://t.co/Xw05Xz5PzV https://t.co/TtOx9cawoD",1151582395839197184
24,AbbVie Inc.,17-Jul-19,Celebrate #WorldEmojiDay with us &amp; vote for your favorite scientific emoji below:,1151522046008004609
25,AbbVie Inc.,16-Jul-19,"At our rooftop #Zen garden, you’ll find people like Vinnie Stoll, our #research fellow, taking a few minutes away from the lab to recharge. How do you recharge? #AbbVieLife https://t.co/tu06uuLdKs",1151174677596971009
26,AbbVie Inc.,16-Jul-19,Honored to be nominated for our contributions in research. https://t.co/EHK2osUjto,1151121389241417729
27,AbbVie Inc.,15-Jul-19,Dedication + cutting-edge science = fuel for advancing research for diseases like #RA. See how: https://t.co/EPTMUdmfUK https://t.co/wZzwHfKclL,1150857671593136128
28,"Abeona Therapeutics, Inc",17-Nov-17,"@AbeonaBio thanks this weeks retweeters, @jeffreybdavis @Gene_Medicines: for helping spread awareness on our #raredisease #genetherapy programs :)",931340768484249601
29,"Abeona Therapeutics, Inc",10-Nov-17,"@AbeonaBio thanks this weeks retweeters, @OneMidtownCLE @kvkdev: for helping spread awareness on our #raredisease #genetherapy programs :)",929132318123593728
30,"Abeona Therapeutics, Inc",10-Nov-17,"@AbeonaBio thanks this weeks retweeters, @MPSpapas @twbVT @srqstockpicker: for helping spread awareness on our #raredisease #genetherapy programs :)",928841222122299392
31,"Abeona Therapeutics, Inc",09-Nov-17,@AbeonaBio - $ABEO - Enrolls 1st Subject in Spain in Ongoing Phase 1/2 Clinical Trial in MPS IIIA -  https://t.co/tCeceiS15l - #genetherapy #clinicaltrials #sanfilippo #sanfilipposyndrome #MPSIIIA https://t.co/Dv3lCnFAYo,928632233925251073
32,"Abeona Therapeutics, Inc",02-Nov-17,"@AbeonaBio thanks this weeks retweeters, @WealthMDs @CureRyder: for helping spread awareness on our #raredisease #genetherapy programs :)",926188753470836736
33,"Abeona Therapeutics, Inc",26-Oct-17,@debraOfAmerica a has a wealth of Info about #EB &amp; has also started a game of virtual tag for Ella - Please join in &amp; play #TagWithElla! https://t.co/NRRS0GKi0i,923344210534727680
34,"Abeona Therapeutics, Inc",25-Oct-17,Today kicks off #EB Awareness week-a time of increased efforts 2 share about the impact of  Epidermolysis Bullosa https://t.co/3h6TWr8Exl https://t.co/y9bRkp1NL4,923292794432634880
35,"Abeona Therapeutics, Inc",17-Oct-17,"@AbeonaBio thanks this weeks retweeters, @wbferg @MauriceOnTW: for helping spread awareness on our #raredisease #genetherapy programs :)",920397676633579520
36,"Abeona Therapeutics, Inc",16-Oct-17,@AbeonaBio - $ABEO - Announces $13.85M Grant from Leading #Sanfilippo Syndrome Foundations for  #MPSIII #GeneTherapy https://t.co/Ey3YJngBQH https://t.co/MdJV7eAJkL,919927288820576256
37,"Abeona Therapeutics, Inc",11-Oct-17,@AbeonaBio  $ABEO Enrolls First 2 Patients in Pivotal Expansion of Phase1/2 #ClinicalTrial in #MPSIIIA- https://t.co/OCTBP6FlFq #gentherapy https://t.co/19grXPpkyW,918107799565078528
38,Acacia Communications Inc,20-Sep-17,"@AcaciaComms Unveils 1.2 Tbps AC1200 Coherent Module for DCI, Metro, and Long-Haul Applications https://t.co/tJaVBVEcHo",910530165213679616
39,Acacia Communications Inc,19-Sep-17,Check out some of out-of-this-world capabilities #optical networking makes possible https://t.co/WID2egA1Ao,910220040586317826
40,Acacia Communications Inc,19-Sep-17,Don't miss Chris Doerr tomorrow 8:30am Integrated #SiliconPhotonics Tutorial @ECOC_Exhibition #ECOC2017  https://t.co/RVfWqtuLsW,910211891783503872
41,Acacia Communications Inc,19-Sep-17,RT @ECOC_Exhibition: Missed any of today's action at #ECOC2017? Check out the show daily: https://t.co/P3E5ptTGWF #fibre #optics #5G #photo…,910210800010309632
42,Acacia Communications Inc,18-Sep-17,@IEEEPhotonics He sure is!,909767801287712769
43,Acacia Communications Inc,15-Sep-17,"RT @ECOC_Exhibition: #ECOC2017 starts on Monday - who are your ""can't miss"" #MarketFocus speakers? https://t.co/jJ58BdA0jE",908745928009555970
44,Acacia Communications Inc,15-Sep-17,@AcaciaComms own Binbini Guan is an organizer for the sold out Lab Automation Hackathon at #ECOC2017. Check it out https://t.co/3T4B4wf7mM,908744821266927616
45,Acacia Communications Inc,14-Sep-17,Short- to long-reach optical communications: where does silicon photonics fit in and does it make economic sense? Don't miss it @ECOC2017,908435136559112193
46,Acacia Communications Inc,14-Sep-17,#TBT to ECOC2016 @TomWillyams on the state of the optical market.  How much do you think has changed in a year? https://t.co/LY9zowkaOH,908432407543582720
47,Acacia Communications Inc,13-Sep-17,@AcaciaComms too. Looking forward to it! https://t.co/yZwg242GIi,908040430880780288
48,ACORDA THERAPEUTICS INC,09-Feb-16,"""#Epilepsy research is woefully underfunded."" Take the time to read more via @CUREepilepsy https://t.co/VL2ejungrm https://t.co/ffJenv4Apt",697073063133896704
49,ACORDA THERAPEUTICS INC,08-Feb-16,Need for answers to #Parkinsons Qs? Try calling the @ParkinsonDotOrg Helpline at 1-800-4PD-INFO for support,696808384616603648
50,ACORDA THERAPEUTICS INC,08-Feb-16,"We're excited to sponsor tomorrow's webinar by @APDAParkinsons, focusing on clinical trials for #Parkinsons. https://t.co/9yy0LLSk9U",696778199733268480
51,ACORDA THERAPEUTICS INC,08-Feb-16,Today is International #EpilepsyDay! Follow @IntEpilepsyDay to see how people are raising awareness of #epilepsy around the world,696736557571686401
52,ACORDA THERAPEUTICS INC,07-Feb-16,We're dedicated to helping the 1 in 26 Americans who develop #epilepsy in their life. More stats via @EpilepsyFdn https://t.co/A64joSBSKZ,696408559953825792
53,ACORDA THERAPEUTICS INC,07-Feb-16,"10 days until #ISC16, the world's largest mtg dedicated to #stroke treatment. See you in LA! https://t.co/CstPF0mGE2",696348159820361728
54,ACORDA THERAPEUTICS INC,06-Feb-16,You're not alone in your #MS experience. Connect w/ a local support network through @mssociety https://t.co/3i8v9VeEj0,696038428857737220
55,ACORDA THERAPEUTICS INC,06-Feb-16,Good luck to those joining the #CupidChase today to raise awareness &amp; funding for #epilepsy https://t.co/Q2XBQT95Yn,695970653678206976
56,ACORDA THERAPEUTICS INC,05-Feb-16,Looking for #epilepsy info &amp; resources? @cureepilepsy and @EpilepsyFdn can help! #FF,695736341879980032
57,ACORDA THERAPEUTICS INC,05-Feb-16,"First Lady @MichelleObama on her father, who lived w/ #MS #PatientRecognitionWeek https://t.co/mUj087cAaE",695698626656477184
58,Acquity Group Ltd,04-Dec-13,Register for our December 10th Webinar: The CMO - CIO Imperative with the link provided! http://t.co/VFdH8r2i8e,408325834374541312
59,Acquity Group Ltd,03-Dec-13,"Our site just underwent a digital transformation of its very own, check it out! #TransformationTuesday http://t.co/enlbZ2OtIm",407931156382748672
60,Acquity Group Ltd,02-Dec-13,Take a break from #CyberMonday with this Forbes article explaining retailers' challenges when trying to seize the day http://t.co/Tn43q8KLVn,407612979581296640
61,Acquity Group Ltd,28-Nov-13,Acquity Group would like to say Happy #Thanksgiving to you and your loved ones!,406120938066169856
62,Acquity Group Ltd,27-Nov-13,Curious about what people at Acquity Group are #thankful for this #Thanksgiving ? Check out the video! http://t.co/AOupu4gB7w,405773938354974720
63,Acquity Group Ltd,25-Nov-13,"You're thankful for family, friends, etc. But what really made your 2013? DIGITAL. Here's 9 things to be thankful for http://t.co/3w9kaXwkP3",405079929278459904
64,Acquity Group Ltd,21-Nov-13,How does your site perform across devices? Check out these excellent insights into Google Analytics' Mobile Reports from @sewatch:...,403601261708455936
65,Acquity Group Ltd,21-Nov-13,"""Last-Minute Holiday Tips to Ensure E-Commerce Success"" http://t.co/6Kp3cPfh1e @RetailOnlineMag",403584931894677504
66,Acquity Group Ltd,20-Nov-13,RT @eMarketer: Retail Benefits Most from Mobile Email Revolution: http://t.co/7poN8Qenkg,403259296718532608
67,Acquity Group Ltd,19-Nov-13,What's a marketer to do during the busy holiday e-commerce season? Our Andy Peebler shares 5 digital marketing tips. http://t.co/MkMFMskReg,402858262116450304
68,ACTIVE NETWORK INC,30-Oct-13,We have our weekly Q&amp;A session for @FellowshipOne at 2pm. Come join us in our online session with your questions http://t.co/wJQ8gEiHLM,395627002679812096
69,ACTIVE NETWORK INC,30-Oct-13,RT @endurancewire: ACTIVE Network Celebrates Five Years with Cerulean Sports Group - http://t.co/fDakNIqKzG,395615978123300866
70,ACTIVE NETWORK INC,30-Oct-13,Want to attend The National Xmas Tree Lighting Ceremony? Ticket lottery starts tomorrow on http://t.co/TvurylGED2! http://t.co/uA9hMWaAl0,395612051588263936
71,ACTIVE NETWORK INC,29-Oct-13,"Want Your ""C"" Student to Become a ""B"" Student? 60 minutes of Daily #PhysicalActivity is the Solution! @PHITAmerica http://t.co/ElM2Z4ZuEZ",395222209158864897
72,ACTIVE NETWORK INC,28-Oct-13,Hear from the execs at @ActiveBusiness for more about the #smartevents Cloud. Read the blog and watch the video! http://t.co/Cx3EMkOlGL,394867094317068288
73,ACTIVE NETWORK INC,26-Oct-13,We're sponsoring Share the Experience- the Official Fed Rec Lands Photo Contest! Share your pics for a chance to win: http://t.co/zVdYmdSM6x,394117060898603009
74,ACTIVE NETWORK INC,25-Oct-13,New SMM study released by @MPI! Excited to be named a SMM thought leader in the report. Click here for more info: http://t.co/8wNXMAVqdx,393754555785412608
75,ACTIVE NETWORK INC,24-Oct-13,"RT @activeendurance: Get the recording of last week's webinar, Event Permits &amp; Finances: http://t.co/xx1esKK2dI BIG thanks to Anton of @Rac…",393485475568029696
76,ACTIVE NETWORK INC,23-Oct-13,Back from #IMEX13! Here's a full recap: http://t.co/tZ8yswlWAd,393090979848536064
77,Adaptimmune Therapeutics Plc,29-Nov-18,"We will watch this videocast. We have shown efficacy in 2 solid tumors with NY-ESO, which we transitioned to @GSK a few months ago, and we are investigating our 3 wholly owned SPEAR T-cell therapies in 10 different #cancer indications, all solid tumors. https://t.co/tNhPk43fdn",1068206599850872832
78,Adaptimmune Therapeutics Plc,29-Nov-18,"On @NPR, @dandavis101, who wrote ‘The beautiful cure: the revolution in immunology and what it means for your #health’, discusses #immunotherapy, including its potential for #cancer patients with existing and investigational therapies https://t.co/YrO9xnVUpJ",1068104056818806785
79,Adaptimmune Therapeutics Plc,28-Nov-18,Our colleagues @NavyYardPhila celebrating #NoShaveNovember which brings awareness to #cancer prevention  https://t.co/aWgmQjlEvP #Movember2018 #Movember https://t.co/463T036mVn,1067811665373208576
80,Adaptimmune Therapeutics Plc,28-Nov-18,"Cell therapy is promising for #cancer patients. Testing cross reactivity in humans is challenging based on conventional cell or animal testing. This paper (https://t.co/Qsck25sNYY), published in OncoImmunology (@tandfonline) discusses the method we have developed #immunotherapy",1067749485789487104
81,Adaptimmune Therapeutics Plc,27-Nov-18,"The 2018 ""Good Manufacturing Practice in the UK Report"" by @CGTCatapult is out (https://t.co/SoMEVx52S6). We are building our vector manufacturing unit at The Catapult facility. We believe that being an integrated cell therapy company will be key to deliver for #cancer patients. https://t.co/8SyMQ9G7TI",1067474383751516167
82,Adaptimmune Therapeutics Plc,26-Nov-18,Congratulations to @CGTCatapult for their #biotech apprenticeship scheme in the UK (https://t.co/TwmjsL55Cc).  #immunotherapy - and immuno #oncology in particular - is promising. You can check our career page here: https://t.co/kjYzUedBVs https://t.co/EI7gO3GtAy,1067109479769169920
83,Adaptimmune Therapeutics Plc,26-Nov-18,"@SciImmunology published ""The immune system profoundly restricts intratumor genetic heterogeneity"" (https://t.co/d0eq11lV0n). Understanding the tumor micro environment is a focus of our research teams to continue enhancing the potential of our SPEAR T-cells for #cancer patients https://t.co/k2FWSqC8wY",1067036246235668480
84,Adaptimmune Therapeutics Plc,23-Nov-18,"TCR T-cells were one of the #cancer #immunotherapy treatments mentioned by Andy Sewell, member of our Scientific Advisory Board (https://t.co/QY9XoaQEtt), during his speech at @TheEconomist War on Cancer 2018 meeting.   Via @DrugTargetRev https://t.co/txslqUfbY2 https://t.co/U1ZhzgT1Lj",1065949334720704512
85,Adaptimmune Therapeutics Plc,22-Nov-18,Happy Thanksgiving to our US followers! Our office @NavyYardPhila will be closed today and tomorrow.,1065585786006003712
86,Adaptimmune Therapeutics Plc,21-Nov-18,"November is lung #cancer awareness month in the UK. This short video highlights some of the statistics in the US, fueling everyone in our company, including research and #clinicaltrials teams, to do what they do everyday to develop our SPEAR T-cells products #LCAM https://t.co/m7BMi2oYsW",1065306445372145664
87,Advanced Drainage Systems Inc,09-May-17,Field drainage systems doing the job as ground dries over tile &amp; other areas are  wet. Drainage systems pay off: https://t.co/fIi2VOXCyQ https://t.co/k6C8iUWD44,861965034699751425
88,Advanced Drainage Systems Inc,09-May-17,ADS at APWA Wisconsin Spring Conf Wed-Fri at Monona Terrace Convention Center in Madison. For more: https://t.co/P6RMsBYkBu,861931694085087233
89,Advanced Drainage Systems Inc,08-May-17,"INSERTA TEE is part of Operations Challenge, a nationwide event that concludes at WEFTEC, Oct. 2-4. Check SC event: https://t.co/GG8fJv7oKb",861587881651040256
90,Advanced Drainage Systems Inc,03-May-17,"ADS Findlay North Campus honored by Findlay Exchange Club with ""Proudly We Hail Award"" for displaying American flag correctly &amp; consistently https://t.co/9OxHnEXbH5",859772848222732288
91,Advanced Drainage Systems Inc,28-Apr-17,ADS in Booth 308 Tues-Wed at Assoc of State Floodplain Managers Conf at Kansas City (Mo) Convention Center. https://t.co/lVN0PHhfIm,857986851566694401
92,Advanced Drainage Systems Inc,28-Apr-17,ADS at Arkansas Water Works &amp; Water Environment Association Conf Sun-Wed at Hot Springs Conv Center. For more: https://t.co/NFcWKlaDeN,857938451911647232
93,Advanced Drainage Systems Inc,27-Apr-17,Flapjacks are flying when the Hilliard Corporate Office held a fundraiser for @RMHC of Central Ohio. https://t.co/LjSqhLzgwS,857636233148862464
94,Advanced Drainage Systems Inc,21-Apr-17,"Over 2,600' of ADS SaniTite HP pipe used for expansion &amp; rehab of Greenville, S.C. sanitary sewers saving 50%. https://t.co/hC5LtzslYx",855463406207463424
95,Advanced Drainage Systems Inc,14-Apr-17,"ADS wishes you Happy Easter. Remember ADS products can be used for numerous projects, like the cool flower pots shown in the picture. https://t.co/ylMIvJ0WYI",852906643507556354
96,Advanced Drainage Systems Inc,07-Apr-17,ADS in Booth 1249 at Texas Water 2017 Monday-Thursday at Austin Convention Center. For more: https://t.co/D7OOUaIFZU,850327311094353920
97,Advanced Micro Devices Inc.,12-Mar-19,Hands-on experience brings life to learning - especially in STEM! Take a look at how zSpace and AMD collaborate to engage students and enrich education through VR: https://t.co/t7AgMZXw52 https://t.co/fTiRx83ceN,1105604416122568705
98,Advanced Micro Devices Inc.,10-Mar-19,"No matter the workload, @AMDRyzen processors deliver outstanding performance for your gaming, streaming and productivity needs. Discover your match made in computing heaven today: https://t.co/ijPJhgNJLW https://t.co/zzhqHfFEty",1104864536677531648
99,Advanced Micro Devices Inc.,08-Mar-19,RT @LisaSu: Happy #InternationalWomenDay to all the great women @AMD and around the world who are doing amazing things every day to change…,1104130916555898881
100,Advanced Micro Devices Inc.,08-Mar-19,AMD is proud to celebrate incredible women who drive innovation every day. Meet Diana Campos and learn about the experiences that inspire her this #InternationalWomensDay in #IAmAMD: https://t.co/7W9YNHuemg https://t.co/eF5lob3mj9,1104094433799274496
101,Advanced Micro Devices Inc.,08-Mar-19,"@Reminio (You're welcome, Reminio, thank you! 😉)",1104085393769750528
102,Advanced Micro Devices Inc.,08-Mar-19,@CES @LisaSu And what an exciting job it is. Happy #InternationalWomensDay from the AMD team!,1104077872338227201
103,Advanced Micro Devices Inc.,07-Mar-19,"@jonmasters You're very welcome, Jon! We can't wait to see what he thinks. Welcome back to our Austin HQ! 😊",1103724148294144001
104,Advanced Micro Devices Inc.,07-Mar-19,"Lenovo’s new 14e Chromebook Enterprise powered by AMD is designed to meet business needs across a variety of industries. Learn more about the sleek, durable product from @slashgear: https://t.co/k69ChzpwWy https://t.co/AK6AbBDU4x",1103715952653410305
105,Advanced Micro Devices Inc.,07-Mar-19,"@Steva_S Hey Stevan, we apologize for the delay in getting you access to Resident Evil 2. We know how excited you are to play, and we assure you we’re working hard to get you into the game quickly. Thank you for your understanding while we work through our rewards requests!",1103701478194233345
106,Advanced Micro Devices Inc.,07-Mar-19,"@AdvKiwi Hi there, we're sorry for the inconvenience, but we are working with our partners and expect to restock the Radeon VII via e-tail, AIB partners and https://t.co/N2pH5pDhqL on a weekly basis. Follow @Radeon for more details!",1103699557744021504
107,ADVAXIS INC,19-Jan-16,$ADXS Expands Intellectual Property for Lm Technology™ Platform. See the full announcement here: https://t.co/GzfRoEUOva,689452475431006208
108,ADVAXIS INC,08-Jan-16,$ADXS provides a 2016 business outlook. See the full announcement here: https://t.co/Kaid8mavTb,685435410315620352
109,ADVAXIS INC,05-Jan-16,$ADXS establishes Scientific Advisory Board with several distinguished experts. See the full announcement here: https://t.co/tYprAX1lIV,684379653105123328
110,ADVAXIS INC,16-Dec-15,FDA lifts $ADXS clinical hold. See the full announcement here: https://t.co/rgDzow2uV4,677131199211532288
111,ADVAXIS INC,14-Dec-15,$ADXS Receives Orphan Drug Designation in European Union for Axalimogene Filolisbac for Treatment of Anal Cancer: https://t.co/HwlcYR4tBc,676409169537298432
112,ADVAXIS INC,09-Dec-15,$ADXS to present poster on ADXS-HER2 at SABCS 2015. See the full announcement: https://t.co/BJCfH0bWHD,674601178706149376
113,ADVAXIS INC,01-Dec-15,$ADXS receives Orphan Drug Designation in the European Union for ADXS-HER2 for the treatment of osteosarcoma https://t.co/hEE5Qhmvsg,671694827302608897
114,ADVAXIS INC,23-Nov-15,$ADXS immunotherapy featured in review article in @clinthe. See the full journal article here: https://t.co/1ZhCnyKJGe,668906744811270144
115,ADVAXIS INC,17-Nov-15,$ADXS to receive $1.6 Million through New Jersey Technology Business Tax (NOL) Program https://t.co/kW0xKRLENB,666621278695129088
116,ADVAXIS INC,09-Nov-15,High-dose axalimogene filolisbac immunotherapy will advance to expansion phase https://t.co/qIGwpSSeIK,663720698586771458
117,AECOM,15-Aug-17,"Hackathons—how they're helping ""build smart cities of the future."" #CityHack17 @smartcitiesANZ https://t.co/VgNeowVBGt",897595603391303681
118,AECOM,15-Aug-17,"Tonight on @HISTORY, @AECOM #archaeologist Amy Favret explores the alleged American connection to Jack the Ripper: https://t.co/WDjoZT9wC2 https://t.co/n0E2K56P7X",897574895311134720
119,AECOM,15-Aug-17,RT @AECOMTransport: Does private funding increase accountability when developing infrastructure projects? https://t.co/MUF1CKmnlc #FasterSm…,897512561544839168
120,AECOM,14-Aug-17,Our next episode of #TalkingCities is out now featuring @BorgerDavid on the future of Western Sydney https://t.co/mbxIyYyhXP https://t.co/SVk3xhdrAU,897215117196017664
121,AECOM,14-Aug-17,RT @AECOMCareers: Our Finance Leadership Development Program invites U.S. professionals who want to make an impact—learn more: https://t.co…,897207264448307201
122,AECOM,14-Aug-17,"Our archaeologists monitoring @metrolosangeles construction find “remarkable” ancient sloth, bison fossils: https://t.co/Z8p5gXMF22 @latimes https://t.co/goy2N5AJhP",897126942213775361
123,AECOM,14-Aug-17,Are public-private partnerships the key to improving existing infrastructure? https://t.co/cUwAodyxxE #FasterSmarterBetter https://t.co/At8Imm3Mka,896975936842678272
124,AECOM,11-Aug-17,RT @mikeAECOM: .@AECOM is proud to be ranked the top Environmental Firm by @ENRNews yet again https://t.co/eqwMJDBVca,896059158729859072
125,AECOM,11-Aug-17,"RT @AECOMTransport: Teaming w/ @Networkrail, we’ll deliver a study to support passenger-experience improvements at Penn Station: https://t.…",896048580892426240
126,AECOM,10-Aug-17,"RT @AECOMTransport: Increasing capacity to keep pace with growth, we’re glad to join the #PMCM team for @Schiphol airport development: http…",895651640828547072
127,AEMETIS INC,07-May-15,"Thank you to those who joined our Earnings Call today!  In case you missed it, here are the playback options: http://t.co/e6uTgqd5tU",596452959174561793
128,AEMETIS INC,07-May-15,"Aemetis, Inc. Reports First Quarter 2015 Financial Results - http://t.co/5XNutLVKeU",596407397779804160
129,"Aerie Pharmaceuticals, Inc.",09-Jul-20,Thanks again to all the @ASCRStweets and @ASOAtweets Match Makers! You will make an incredible difference in people's lives. #GiveSight #VISIONaerie #ophthalmology https://t.co/MB3kkuojjt,1281266618127925248
130,"Aerie Pharmaceuticals, Inc.",08-Jul-20,Have you seen this year's list of top #ophthalmology experts attending #OTS2020? 👀   We're proud to be a Tier 1 sponsor of the first virtual @OctaneOC annual gathering of the #eyecare #innovation ecosystem! Still time to register! https://t.co/uJadyD6p4z,1280950021941321729
131,"Aerie Pharmaceuticals, Inc.",29-Jun-20,Looking forward to #OTS2020 - thanks @OctaneOC for hosting the first virtual gathering of our #ophthalmology #innovation ecosystem! https://t.co/uJadyDnZW7,1277696184174301185
132,"Aerie Pharmaceuticals, Inc.",29-Jun-20,"Down from 78% in our first #COVID19 #glaucoma survey, ECP respondents noted that restricting appointments to urgent and emergent cases declined to 67%.  #PracticeRecovery #Ophthalmology #EyeNews",1277611291486674944
133,"Aerie Pharmaceuticals, Inc.",25-Jun-20,Thanks again to @ASCRStweets and @ASOAtweets #GiveSight Match donors! The @ASCRSFoundation’s new video describes your impact: https://t.co/ZKvX6NyyRP   There is still time to contribute at https://t.co/SFsf9bZ3k7!   #ophthalmology #VISIONaerie,1276245374970322948
134,"Aerie Pharmaceuticals, Inc.",24-Jun-20,"This is phenomenal - a testament to your resilience and unshakable commitment.  Thank you for your generous gift of sight, @ASCRStweets and @ASOAtweets Match Makers!! You can still #GiveSight at https://t.co/SFsf9bHrVx! #ophthalmology #VISIONaerie https://t.co/nUyKDJyRdp",1275896977444630528
135,"Aerie Pharmaceuticals, Inc.",24-Jun-20,"ASCRS and @ASOAtweets members are Match Makers and have unlocked our $30,000 challenge!  👏🏻  Join them to support the sight-restoring work of the @ASCRSFoundation!   #GiveSight at https://t.co/MoEkvHckK8   #ophthalmology #VISIONaerie",1275828157040545794
136,"Aerie Pharmaceuticals, Inc.",24-Jun-20,"RT @aao_ophth: Drs. Tamara Fountain, Leon Herndon and Basil Williams on the state of diversity in ophthalmology. https://t.co/xnteKEpaXT",1275617444674093056
137,"Aerie Pharmaceuticals, Inc.",24-Jun-20,RT @AcademyEyeSmart: Is it safe to see your ophthalmologist in person? Academy spokespeople Drs. Ruth Williams and Sonal Tuli tell the @was…,1275616952476553219
138,"Aerie Pharmaceuticals, Inc.",24-Jun-20,"RT @ASCRSFoundation: ""I was blind for 9 years and now I can see. I have been born again!"" https://t.co/W8MvlCXNZj https://t.co/rpWkqVqq1T",1275616595604156417
139,Aerojet Rocketdyne Holdings Inc,18-Jul-19,"Since we can't drop a 📍, this 🗺 is the next best thing. Find @AerojetRdyne at the #Apollo50 Festival on the National Mall, Tent 4: ""Forward to the Moon &amp; Mars with Artemis"".   Map courtesy of @airandspace. Mission partners @NASA &amp; @NASA_SLS . #NASASLS https://t.co/tPMan7Whab",1152004637966262272
